epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,2010.42,0.76491,0.5497,1.07949,0.87252,0.84342,0.89143,0.68369,1.01298,0.72063,1.32206,0.000300794,0.000300794,0.000300794
125,2027.3,0.77097,0.54723,1.07939,0.91869,0.82383,0.88935,0.68877,0.99238,0.70957,1.29991,0.000296988,0.000296988,0.000296988
126,2043.49,0.80147,0.56911,1.10116,0.93466,0.82885,0.89131,0.6803,0.97738,0.66724,1.28938,0.000293181,0.000293181,0.000293181
127,2059.81,0.76736,0.5585,1.07078,0.91375,0.85925,0.91316,0.70112,0.9999,0.61232,1.29184,0.000289375,0.000289375,0.000289375
128,2075.93,0.76227,0.54163,1.08382,0.91288,0.85867,0.90738,0.70711,1.00829,0.62716,1.29961,0.000285568,0.000285568,0.000285568
129,2092.45,0.78259,0.55541,1.09008,0.876,0.88236,0.9093,0.71584,0.97728,0.61309,1.28522,0.000281762,0.000281762,0.000281762
130,2109.15,0.73249,0.53549,1.07402,0.91087,0.85199,0.91155,0.71594,0.98774,0.63774,1.28407,0.000277955,0.000277955,0.000277955
131,2125.18,0.7461,0.53146,1.07362,0.91166,0.84506,0.90691,0.72355,0.98043,0.61603,1.30339,0.000274148,0.000274148,0.000274148
132,2141.08,0.74746,0.51085,1.04556,0.93349,0.8285,0.90683,0.71223,0.98228,0.60658,1.31845,0.000270342,0.000270342,0.000270342
133,2156.89,0.74859,0.52864,1.07369,0.92418,0.85364,0.90205,0.71018,0.97581,0.60683,1.30522,0.000266535,0.000266535,0.000266535
134,2173.16,0.72142,0.5084,1.06525,0.93194,0.85729,0.89769,0.70896,0.94308,0.60539,1.27195,0.000262729,0.000262729,0.000262729
135,2190.06,0.74783,0.53227,1.07885,0.92458,0.83808,0.8865,0.70255,0.93226,0.62097,1.2666,0.000258922,0.000258922,0.000258922
136,2206.13,0.75754,0.53066,1.0674,0.92514,0.83657,0.88708,0.70736,0.94057,0.69212,1.27783,0.000255116,0.000255116,0.000255116
137,2221.91,0.73235,0.53292,1.06673,0.89766,0.84294,0.90275,0.70774,0.94377,0.63133,1.27315,0.000251309,0.000251309,0.000251309
138,2238.02,0.75882,0.52976,1.06769,0.92143,0.80034,0.88175,0.69088,0.94311,0.6808,1.26453,0.000247503,0.000247503,0.000247503
139,2254.61,0.7758,0.53701,1.05466,0.91684,0.83516,0.90083,0.70506,0.94836,0.63853,1.27815,0.000243696,0.000243696,0.000243696
140,2271.41,0.7042,0.51841,1.06402,0.89692,0.88113,0.9131,0.70506,0.93963,0.64297,1.26743,0.00023989,0.00023989,0.00023989
141,2287.13,0.74798,0.50104,1.04985,0.88879,0.88628,0.91633,0.72404,0.92246,0.62824,1.25032,0.000236083,0.000236083,0.000236083
142,2303.46,0.72785,0.50074,1.05035,0.86895,0.87888,0.9092,0.72516,0.89124,0.61872,1.2156,0.000232276,0.000232276,0.000232276
143,2319.56,0.71759,0.50277,1.0547,0.89569,0.82747,0.89873,0.71009,0.90476,0.63611,1.22161,0.00022847,0.00022847,0.00022847
144,2335.82,0.7486,0.51377,1.06375,0.8914,0.82713,0.90462,0.72418,0.928,0.65367,1.23396,0.000224663,0.000224663,0.000224663
145,2352.86,0.72423,0.50027,1.04427,0.87572,0.87195,0.9088,0.72936,0.91659,0.61804,1.24148,0.000220857,0.000220857,0.000220857
146,2368.94,0.72963,0.49307,1.04113,0.90183,0.85207,0.90865,0.726,0.93652,0.61821,1.26255,0.00021705,0.00021705,0.00021705
147,2384.96,0.67195,0.47963,1.03618,0.88103,0.89216,0.91139,0.73319,0.92766,0.60826,1.26685,0.000213244,0.000213244,0.000213244
148,2401,0.70731,0.50885,1.04448,0.9172,0.85901,0.9046,0.71064,0.93451,0.60653,1.26293,0.000209437,0.000209437,0.000209437
